name,category_code,short_description,status,founded_year,funding_rounds,funding_total_usd,country_code,cluster,x,y,traction_score
Fitbit,health,"Fitbit offers compact, wireless, wearable sensors that track a persons daily activities in order to promote a healthy lifestyle.",operating,2007.0,5,68069200.0,USA,4,-0.048336722,-0.21575171,65.7
iCharts,analytics,iCharts is a SaaS-based company providing online services for interactive chart creation and social sharing.,operating,2008.0,1,3100000.0,USA,1,-0.06992834,0.04139719,53.0
Attunity,software,"Attunity provides information-availability software solutions enabling access, sharing and distribution of data in various platforms.",ipo,,4,10500000.0,USA,1,-0.13896435,0.07120039,56.8
Rev Worldwide,ecommerce,"Rev Worldwide is a global, multi-platform payments and loyalty technology provider that targets the unbanked and underbanked population.",operating,2008.0,2,4815940.0,USA,5,0.022544742,0.16299422,55.8
Eqvilibria,other,Eqvilibria is a provider of customizable turnkey loyalty and reward programs for major banks.,operating,2009.0,1,720000.0,RUS,5,-0.06373849,0.18736319,51.2
Bojam,games_video,"Bojam is an online music collaboration service enabling musicians to discover mixes, record music, and connect with other musicians.",operating,2008.0,0,0.0,USA,2,-0.09135746,-0.008469002,24.4
Yammer,enterprise,"Yammer is an enterprise social network that enables employees to collaborate across departments, geographies and business applications.",acquired,2008.0,5,142000000.0,USA,1,-0.20521426,0.0602577,65.8
FaceTags,photo_video,FaceTags uses facial recognition technologies to turn faces in photos and videos into qualified leads.,closed,2011.0,1,15000.0,,2,0.032591633,-0.15241732,35.9
gopogo,social,"Gopogo is a geo-location platform for recording, sharing and discovering connected experiences.",closed,2009.0,1,3000000.0,USA,2,-0.2607701,-0.13795115,43.8
VGo Communications,medical,"VGo Communications develops and markets visual communications solutions for healthcare, monitoring, and remote management applications.",operating,2007.0,3,8829914.0,USA,1,0.05674829,-0.1448957,58.1
LIVECHAT Software,ecommerce,"LIVECHAT Software provides LiveChat, an online engagement solution facilitating communication between e-commerce owners and their prospects.",operating,2002.0,0,0.0,POL,5,-0.24629825,0.023224387,19.6
Mob.ly,mobile,Mob.ly is a mobile and online recommendations service providing actionable suggestions from friends and trusted sources.,acquired,2007.0,1,1100000.0,USA,2,-0.20786387,-0.09297095,48.4
"Thru, Inc.",software,Thru provides enterprises with secure file transfer and managed file transfer solutions.,operating,2002.0,4,14734000.0,USA,1,0.04284405,0.22269744,57.0
WeHostels,travel,"WeHostels is a mobile appfor young travellers to find and book accommodation, discover events, and connect with other travellers.",acquired,2011.0,1,1200000.0,USA,4,-0.18696886,-0.17818439,51.7
Tasted Menu,hospitality,Tasted Menu is a website and mobile app that allows diners to read and review restaurant dishes and make more informed ordering decisions.,closed,2009.0,1,0.0,USA,5,-0.15340915,-0.00846602,17.2
easyOwn.it,ecommerce,"EasyOwn.it is an e-commerce cloud service that connects merchants with customers, and enables shoppers to comment on and share products.",closed,2011.0,1,138000.0,CHE,5,-0.21516728,0.24573416,39.9
Tweegee,games_video,Tweegee is a social network and activities platform for kids in Latin America and Europe.,operating,2008.0,1,3000000.0,ISR,2,-0.26560968,-0.12288994,53.0
Happy Inspector,mobile,Happy Inspector is a property inspection app for property managers to create inspection reports and share them with co-workers.,operating,2011.0,1,895000.0,USA,1,0.0029463768,0.019292435,53.2
NYX Interactive,games_video,NYX Interactive is a supplier of systems for digitally-distributed gaming entertainment.,operating,2006.0,1,7385500.0,SWE,2,0.038432047,-0.020904975,53.0
Socure,security,Socure provides social biometric solutions that offer identity verification and fraud detection in order to protect against identity fraud.,operating,2012.0,1,1700000.0,USA,1,0.027497992,-0.077771135,55.1
Bitcasa,enterprise,Bitcasa offers infinite storage paired with best in class security via client side encryption.,operating,2011.0,4,19500000.0,USA,1,-0.048813544,0.05152232,64.7
Balluun,ecommerce,Balluun provides mobile and web applications as a complementary service for tradeshows and wholesale service providers.,operating,2009.0,1,8700000.0,USA,4,-0.20647356,-0.03184846,55.7
"Toyopa Group, LLC",mobile,Toyopa Group is a Los Angeles-based mobile technology startup laboratory.,operating,2011.0,0,0.0,USA,3,0.12636353,-0.12346828,26.8
ClickN KIDS,education,ClickN KIDS delivers interactive phonics and spelling programs for children.,operating,2003.0,1,4000000.0,USA,2,-0.042550452,-0.13363706,49.5
Propertyshark,ecommerce,PropertyShark aggregates real estate data and listings from various sources into a property research website that covers all major markets.,acquired,2003.0,0,0.0,USA,5,-0.12680635,0.20471863,18.4
alluc,games_video,"Alluc.org is a user-generated link-sharing-website that catalogues links to TV shows, movies, music videos, sport, anime and cartoons.",operating,2009.0,0,0.0,DEU,2,-0.1958408,0.00926768,25.2
Blendr,mobile,"Blendr is a geosocial networking application and social discovery platform for Android, the iPhone, iPod touch, iPad and Facebook.",operating,2011.0,0,0.0,USA,2,-0.08979409,-0.1571319,26.8
Base79,advertising,Base79 is an online media company creating global audiences for video content and manages hundreds of YouTube channels.,operating,2007.0,2,14345753.0,GBR,2,-0.079287045,-0.034487184,56.9
Collective Bias,social,Collective Bias is a social shopper media company driving retail sales through the coordinated creation of social media stories.,operating,2009.0,3,11000000.0,USA,2,-0.2438016,0.20522481,60.1
Niveus Medical,biotech,Niveus Medical develops technologies to keep key muscle groups strong during bed rest and supports faster patient recovery.,operating,2008.0,2,2365000.0,USA,0,0.33999592,-0.16214532,54.5
Polyvore,web,"Polyvore is an online community site for fashion and style, enabling its users to share their own creativity in fashion.",operating,2007.0,3,22100000.0,USA,2,-0.14630094,0.106944665,59.7
The Next Web,news,"The Next Web is a technology-focused media company managing a number of initiatives on international technology news, business and culture.",operating,2008.0,0,0.0,NLD,2,-0.14712521,0.011752842,24.4
Nomadesk,enterprise,"Nomadesk provides file sharing storage and synchronization software enabling users to access, share, synchronize and safeguard their files.",operating,2004.0,3,11298100.0,USA,1,-0.13311914,-0.09619971,56.1
Stylesight,fashion,Stylesight provides trend forecasting and product development tools for creative professionals in the fashion and style industries.,operating,2004.0,3,26000006.0,USA,2,-0.03803306,0.07990867,57.6
YuMe,advertising,YuMe provides digital video advertising solutions for all types of internet-connected devices.,ipo,2004.0,8,72900000.0,USA,2,-0.17453352,-0.03763986,69.4
Wabeebwa,web,"Wabeebwa delivers relevant coupon information to users while they are shopping, via a web browser toolbar add-in or a mobile device app.",closed,2011.0,1,5000.0,USA,4,-0.18273038,-0.023872925,34.0
Top10.com,travel,Top10.com employs advanced search technologies and ranking systems to assist users in finding hotels that fit their budget.,operating,2011.0,2,4400000.0,GBR,5,-0.12591746,0.15843722,58.0
GlucoTec,software,Glytec provides glycemic control management systems for over 200 million diabetes patients worldwide.,closed,,3,10370000.0,,0,0.23440233,-0.06563952,44.8
MyFamily,web,"MyFamily is a website enabling users to connect with their families by sharing photos and videos, scheduling events, and having discussions.",operating,1998.0,0,0.0,USA,2,-0.2193892,-0.14496504,16.4
Pixelpipe,mobile,"Pixelpipe is a media distribution gateway allowing users to publish text, photos, video, audio and documents.",closed,2008.0,2,2300000.0,USA,2,-0.12133678,-0.13836592,44.5
Meridian,enterprise,Meridian offers a location-based platform that allows enterprises to develop mobile apps to optimize and simplify their customer experience.,acquired,2011.0,2,1975000.0,USA,4,-0.11756813,-0.10804084,54.6
IGAWorks,advertising,IGAWorks is a digital marketing company specializing in app marketing campaigns.,operating,2006.0,2,5000000.0,KOR,3,-0.05554018,0.10144927,54.3
Automattic,web,"Automattic develops publishing platforms, including the WordPress.com website and the VIP WordPress.com cloud version.",operating,2005.0,2,30600000.0,USA,1,-0.083836846,0.062385928,56.7
Pricing Engine,advertising,"Pricing Engine, a SaaS product, aggregates user data from advertising platforms and provides actionable insights for improving sales.",operating,2011.0,3,1725000.0,USA,5,-0.14742038,0.30528113,58.4
HealthWyse,software,"HealthWyse offers EMR software solutions for home health, hospice and private duty agencies to improve profitability and patient care.",operating,1998.0,1,0.0,USA,0,0.20240057,-0.071896,18.4
youcalc,enterprise,"youcalc is a user-driven library of analytics apps for CRM, sales, marketing, support, and project management.",acquired,2006.0,3,3840000.0,DNK,1,-0.08685202,-0.0151716005,53.8
Apptism,games_video,"Apptism is an iPhone app activity aggregator that collects and presents the latest news, reviews and media related to the apps.",acquired,2008.0,0,0.0,,4,-0.1352076,-0.29059193,22.4
nCircle Network Security,software,nCircle Network Security is a company providing agentless security risk and compliance management solutions.,acquired,1998.0,2,6000999.0,USA,3,0.10722436,0.11979389,46.2
LiveHive Systems,software,LiveHive Systems provides interactive entertainment solutions that enhance television broadcasts for TV audiences.,operating,2005.0,1,1800000.0,CAN,2,-0.1217896,-0.2225444,49.6
FetchBack,advertising,FetchBack provides retargeting services to companies by showing advertisements to consumers who previously visited their website.,acquired,2007.0,1,1000000.0,USA,5,-0.16249388,0.0792363,48.2
e-Merges.com,software,"e-Merges compiles, updates and publishes public records to permitted or non-restricted users.",operating,2000.0,1,35000.0,USA,1,-0.02301731,0.047349487,38.6
Mashery,enterprise,Mashery is an intel company providing API management services that enable companies to leverage web services as a distribution channel.,acquired,2006.0,6,34700000.0,USA,1,-0.0034262016,0.077374615,63.7
ConSentry Networks,network_hosting,"ConSentry Networks delivers intelligent control, enabling customers to capitalize on new business practices.",closed,2003.0,3,46400000.0,USA,1,0.003717877,0.13858493,47.8
IKANO Communications,web,IKANO Communications is a diversified internet company backed by Insight Venture Partners.,operating,1999.0,1,22500000.0,USA,3,-0.0032652393,0.11538265,49.3
LogLogic,security,LogLogic provides a scalable log and security intelligence platform for the enterprise and cloud.,acquired,2002.0,1,8800000.0,USA,1,0.11033096,0.04330331,48.1
Sipera Systems,security,Sipera Systems is a company providing solutions for the rapid and simple adoption of Unified Communications (UC).,operating,2003.0,4,39730000.0,USA,3,0.06417705,-0.0077025606,59.6
Dash,mobile,"Dash Navigation is the developer of Dash Express, an internet-enabled personal navigation device.",acquired,,3,65000000.0,USA,4,-0.056129597,-0.0648986,56.0
Nimble Storage,enterprise,Nimble Storage's CASL architecture is a flash-optimized storage solution that provides backup storage and data protection for business data.,operating,2008.0,3,81700000.0,USA,1,0.015940137,0.031591818,62.8
Hall,messaging,"Hall is a communication application for enterprises that includes group-chat, file sharing, and instant messaging features.",operating,2011.0,2,6080000.0,USA,2,-0.18647191,-0.104179904,58.6
DealBase Corporation,web,DealBase operates a website that lists hotel packages in a format that allows people to know the approximate costs or savings being offered.,operating,2008.0,1,1000000.0,USA,5,-0.06790071,0.20638286,51.0
The Solution Group,software,The Solution Group offers human capital technology solutions for companies to improve the hiring process and performance of employees.,operating,2002.0,1,500000.0,USA,1,0.105284095,0.10765649,45.0
Big Fish,games_video,Big Fish Games is a game development studio and distribution platform for third party developers.,operating,2002.0,2,95244796.0,USA,2,-0.09717818,-0.0052757724,56.3
JustFab,fashion,JustFab is an online fashion retailer offering members a personalized shopping experience based on their fashion preferences.,operating,2010.0,3,149000000.0,USA,5,-0.13036653,0.19037274,65.5
